id,time,value
residuals,2020-10-11,0.004461263063766198
residuals,2020-10-18,-0.0022701276065650302
residuals,2020-10-25,2.650697522802038e-4
residuals,2020-11-01,-0.0049822797839535185
residuals,2020-11-08,0.00546524213115015
residuals,2020-11-15,-2.603713447690884e-4
residuals,2020-11-22,0.0011606092308907435
residuals,2020-11-29,0.008117029944324906
residuals,2020-12-06,0.0025699291327124516
residuals,2020-12-13,-2.3640238967515166e-4
residuals,2020-12-20,0.0032782068670972457
residuals,2020-12-27,0.002422744461072758
residuals,2021-01-03,0.0010825847253899067
residuals,2021-01-10,0.013557354636991098
residuals,2021-01-17,0.021543117005478625
residuals,2021-01-24,0.0034819837758222386
residuals,2021-01-31,0.005286881178208947
residuals,2021-02-07,0.00665125298904368
residuals,2021-02-14,0.005445361016384089
residuals,2021-02-21,0.002976940621782114
residuals,2021-02-28,0.012138760350308444
residuals,2021-03-07,-0.0030600304678321108
residuals,2021-03-14,-0.002764454755828905
residuals,2021-03-21,-0.0026732928558404552
residuals,2021-03-28,3.9319501077272564e-4
residuals,2021-04-04,-0.002778465677747281
residuals,2021-04-11,9.625703507635638e-4
residuals,2021-04-18,-0.001866806011694172
residuals,2021-04-25,-5.101773654306466e-4
residuals,2021-05-02,-8.424093192460608e-4
residuals,2021-05-09,0.0018653498373981691
residuals,2021-05-16,0.006054754671003508
residuals,2021-05-23,0.004702564379315681
residuals,2021-05-30,0.004100819543741583
residuals,2021-06-06,0.010950836468713813
residuals,2021-06-13,-1.3940846496620816e-4
residuals,2021-06-20,-0.002312361413771583
residuals,2021-06-27,-7.050624683447393e-4
residuals,2021-07-04,0.00625125847863709
residuals,2021-07-11,0.0033305922151566224
residuals,2021-07-18,0.001657837257898075
residuals,2021-07-25,-0.005553487046173133
residuals,2021-08-01,-0.006122580487528307
residuals,2021-08-08,0.0038992163170213927
residuals,2021-08-15,-0.002841328865918545
residuals,2021-08-22,0.005877526342541453
residuals,2021-08-29,0.006044579802992195
residuals,2021-09-05,-0.008957906711444108
residuals,2021-09-12,-0.005256088620447736
residuals,2021-09-19,5.673357334709529e-4
residuals,2021-09-26,-0.0027652144223864646
residuals,2021-10-03,0.005989613402189988
residuals,2021-10-10,-0.0018023036450220292
residuals,2021-10-17,0.010917025383390823
residuals,2021-10-24,0.01299043608188657
residuals,2021-10-31,-1.1288435032524738e-4
residuals,2021-11-07,3.191153822071605e-4
residuals,2021-11-14,-0.0017724802959924787
residuals,2021-11-21,-0.002058178053640968
residuals,2021-11-28,-2.478131243242241e-4
residuals,2021-12-05,-0.00880326829126863
residuals,2021-12-12,-0.002400035371883457
residuals,2021-12-19,0.005603598092125853
residuals,2021-12-26,-0.003441057098717184
residuals,2022-01-02,-6.120753892762832e-4
residuals,2022-01-09,-6.291754177642291e-4
residuals,2022-01-16,0.004438282617474373
residuals,2022-01-23,8.531098324038336e-4
residuals,2022-01-30,0.004537198048968616
residuals,2022-02-06,0.014776795489337365
residuals,2022-02-13,0.0010118104517519723
residuals,2022-02-20,0.0016695171038952398
residuals,2022-02-27,0.0023691734447217807
residuals,2022-03-06,0.015348332092870474
residuals,2022-03-13,0.047648729927147644
residuals,2022-03-20,0.005405655860607669
residuals,2022-03-27,0.003246435566250247
residuals,2022-04-03,0.0034926105345710894
residuals,2022-04-10,-0.012134218202702154
residuals,2022-04-17,-0.014282056068980403
residuals,2022-04-24,-0.007484643016288712
residuals,2022-05-01,-2.5825169683216714e-4
residuals,2022-05-08,0.008343510032605065
residuals,2022-05-15,0.00612459706320583
residuals,2022-05-22,0.013587376089262098
residuals,2022-05-29,0.008007611092494923
residuals,2022-06-05,0.015134629498022134
residuals,2022-06-12,0.005088183034178081
residuals,2022-06-19,0.005430090211822588
residuals,2022-06-26,0.0013713489932744333
residuals,2022-07-03,0.0025950767253706897
residuals,2022-07-10,-0.009588434223646662
residuals,2022-07-17,-0.00522965662584445
residuals,2022-07-24,-0.006202147082383382
residuals,2022-07-31,-0.010461658124565966
residuals,2022-08-07,-0.005932319846189375
residuals,2022-08-14,-0.003964455480691462
residuals,2022-08-21,-0.006048322593991349
residuals,2022-08-28,0.0014622891510093
residuals,2022-09-04,-0.015259943146701047
residuals,2022-09-11,-0.01673029865326143
residuals,2022-09-18,-0.019157623616077448
residuals,2022-09-25,-0.018600463073403396
residuals,2022-10-02,-0.01610828005677189
residuals,2022-10-09,-0.0158126033732568
residuals,2022-10-16,-0.00774757133876984
residuals,2022-10-23,-0.006145250656332926
residuals,2022-10-30,-0.007406672688943271
residuals,2022-11-06,-0.008198382195044228
residuals,2022-11-13,-7.898401112537018e-4
residuals,2022-11-20,0.0032427893376601315
residuals,2022-11-27,0.009551606319527403
residuals,2022-12-04,-0.00521661443853283
residuals,2022-12-11,-0.01887400279966094
residuals,2022-12-18,-0.013852829458774361
residuals,2022-12-25,-0.0025882392393875744
fitted values,2019-01-27,0.0034143310055968316
fitted values,2019-02-03,0.0030884337402642226
fitted values,2019-02-10,0.0039890526875221936
fitted values,2019-02-17,0.004018921167071779
fitted values,2019-02-24,0.006041119175504119
fitted values,2019-03-03,0.0052418649808819275
fitted values,2019-03-10,0.0033876190864688296
fitted values,2019-03-17,0.002468586250980516
fitted values,2019-03-24,0.002536954696625949
