time,canton,category,value
2019-09-01,ag,commute,0.1622316356189721
2019-09-08,ag,commute,0.2275437640375215
2019-09-15,ag,commute,0.21621796142158806
2019-09-22,ag,commute,0.19738357114546176
2019-09-29,ag,commute,0.21323969480776853
2019-10-06,ag,commute,0.2531736358832078
2019-10-13,ag,commute,0.13293136477738143
2019-10-20,ag,commute,0.15700918219051394
2019-10-27,ag,commute,0.157911051658079
2019-11-03,ag,commute,0.08020346148764698
2019-11-10,ag,commute,0.15489083762716344
2019-11-17,ag,commute,0.09501089972255253
2019-11-24,ag,commute,0.13846842383405997
2019-12-01,ag,commute,0.11371944774739068
2019-12-08,ag,commute,0.15604439159730482
2019-12-15,ag,commute,0.15407286299379047
2019-12-22,ag,commute,0.1631335050865372
2019-12-29,ag,commute,0.17936715550270843
2020-01-05,ag,commute,0.16466458581054302
2020-01-12,ag,commute,0.1448863786497556
2020-01-19,ag,commute,0.119067743427137
2020-01-26,ag,commute,0.08261543797066985
2020-02-02,ag,commute,0.09966706302021404
2020-02-09,ag,commute,0.22271981107147576
2020-02-16,ag,commute,0.1876937177962743
2020-02-23,ag,commute,0.11460034350640773
2020-03-01,ag,commute,0.10803557273087595
2020-03-08,ag,commute,0.09102589509842782
2020-03-15,ag,commute,0.052098692033293696
2020-03-22,ag,commute,0.02682537323292377
2020-03-29,ag,commute,0.03490025102391334
2020-04-05,ag,commute,0.030118245474963664
2020-04-12,ag,commute,0.03330624917426345
2020-04-19,ag,commute,0.025147476549081782
2020-04-26,ag,commute,0.04693915973047958
2020-05-03,ag,commute,0.05046274276654776
2020-05-10,ag,commute,0.045596842383406
2020-05-17,ag,commute,0.05274887699828247
2020-05-24,ag,commute,0.05824398863786498
2020-05-31,ag,commute,0.09079518430439952
2020-06-07,ag,commute,0.08481767736821244
2020-06-14,ag,commute,0.11275465715418154
2020-06-21,ag,commute,0.12349319593077024
2020-06-28,ag,commute,0.11621531906460562
2020-07-05,ag,commute,0.13538528867750033
2020-07-12,ag,commute,0.09895395692958119
2020-07-19,ag,commute,0.07437277051129608
2020-07-26,ag,commute,0.08475475624256838
2020-08-02,ag,commute,0.11713816224071871
2020-08-09,ag,commute,0.11277563086272954
2020-08-16,ag,commute,0.11621531906460564
2020-08-23,ag,commute,0.0789450389747655
2020-08-30,ag,commute,0.060446228035407584
2020-09-06,ag,commute,0.10251948738274541
2020-09-13,ag,commute,0.09226334390276127
2020-09-20,ag,commute,0.06415857444840799
2020-09-27,ag,commute,0.09276671290791386
2020-10-04,ag,commute,0.044862762584225134
2020-10-11,ag,commute,0.050693453560576036
2020-10-18,ag,commute,0.055622275069361876
2020-10-25,ag,commute,0.03829799180869336
2020-11-01,ag,commute,0.02799990091161316
2020-11-08,ag,commute,0.05566422248645792
2020-11-15,ag,commute,0.035823094200026426
2020-11-22,ag,commute,0.08693602193156297
2020-11-29,ag,commute,0.0356343308230942
2020-12-06,ag,commute,0.04379310344827586
2020-12-13,ag,commute,0.05713238208481966
2020-12-20,ag,commute,0.056964592416435464
2020-12-27,ag,commute,0.06820650019817678
2021-01-03,ag,commute,0.04752642356982428
2021-01-10,ag,commute,0.10931496895230544
2021-01-17,ag,commute,0.06023649094992733
2021-01-24,ag,commute,0.060593043995243755
2021-01-31,ag,commute,0.10272922446822567
2021-02-07,ag,commute,0.06728365702206368
2021-02-14,ag,commute,0.05614661778306249
2021-02-21,ag,commute,0.04094067908574448
2021-02-28,ag,commute,0.051217796274276646
2021-03-07,ag,commute,0.04807173999207293
2021-03-14,ag,commute,0.07762369533623992
2021-03-21,ag,commute,0.06055109657814771
2021-03-28,ag,commute,0.03517290923503765
2021-04-04,ag,commute,0.0666124983485269
2021-04-11,ag,commute,0.06923421191702998
2021-04-18,ag,commute,0.05948143744219844
2021-04-25,ag,commute,0.10467977936319196
2021-05-02,ag,commute,0.03710249042145594
2021-05-09,ag,commute,0.04440134099616858
2021-05-16,ag,commute,0.058097172678028795
2021-05-23,ag,commute,0.10203709208614083
2021-05-30,ag,commute,0.10881159994715286
2021-06-06,ag,commute,0.11921455938697319
2021-06-13,ag,commute,0.08183941075439292
2021-06-20,ag,commute,0.10732246664024311
2021-06-27,ag,commute,0.10159664420663231
2021-07-04,ag,commute,0.11382431629013079
2021-07-11,ag,commute,0.0894109195402299
2021-07-18,ag,commute,0.15661068172810147
2021-07-25,ag,commute,0.09872324613555292
2021-08-01,ag,commute,0.10159664420663231
2021-08-08,ag,commute,0.10633670233848594
2021-08-15,ag,commute,0.09471726780288016
2021-08-22,ag,commute,0.08595025762980579
2021-08-29,ag,commute,0.1062318337957458
2021-09-05,ag,commute,0.15826760470339546
2021-09-12,ag,commute,0.08794275994186815
2021-09-19,ag,commute,0.1084969943189325
2021-09-26,ag,commute,0.11080410225921522
2021-10-03,ag,commute,0.11353068437045846
2021-10-10,ag,commute,0.06394883736292774
2021-10-17,ag,commute,0.06623497159466243
2021-10-24,ag,commute,0.0838528867750033
2021-10-31,ag,commute,0.10981833795745805
2021-11-07,ag,commute,0.13356057603382218
2021-11-14,ag,commute,0.06487168053904083
2021-11-21,ag,commute,0.1272684634694147
2021-11-28,ag,commute,0.046037290262914525
2021-12-05,ag,commute,0.08378996564935923
2021-12-12,ag,commute,0.061138360417492404
2021-12-19,ag,commute,0.14681595983617388
2021-12-26,ag,commute,0.08011956665345486
2022-01-02,ag,commute,0.05516085348130533
2022-01-09,ag,commute,0.07250611045052187
2022-01-16,ag,commute,0.07103795085216014
2022-01-23,ag,commute,0.05436385255648039
2022-01-30,ag,commute,0.09041765755053507
2022-02-06,ag,commute,0.1476129607609988
2022-02-13,ag,commute,0.12957557140969744
2022-02-20,ag,commute,0.12263327388030122
2022-02-27,ag,commute,0.1499620161183776
2022-03-06,ag,commute,0.11898384859294492
2022-03-13,ag,commute,0.10054795877923109
2022-03-20,ag,commute,0.15577173338618047
2022-03-27,ag,commute,0.13192462676707625
2022-04-03,ag,commute,0.1617072929052715
2022-04-10,ag,commute,0.16934172281675255
2022-04-17,ag,commute,0.13857329237680008
2022-04-24,ag,commute,0.12984822962082176
2022-05-01,ag,commute,0.11512468622010834
2022-05-08,ag,commute,0.19266448672215616
2022-05-15,ag,commute,0.1983693354472189
2022-05-22,ag,commute,0.16487432289602325
2022-05-29,ag,commute,0.19981652133703262
2022-06-05,ag,commute,0.201829997357643
2022-06-12,ag,commute,0.19809667723609461
2022-06-19,ag,commute,0.25856387898005023
2022-06-26,ag,commute,0.206024739067248
2022-07-03,ag,commute,0.21728762055753734
2022-07-10,ag,commute,0.30720190910291983
2022-07-17,ag,commute,0.28790609723873695
2022-07-24,ag,commute,0.22852952833927861
2022-07-31,ag,commute,0.32536514070550926
2022-08-07,ag,commute,0.20600376535869996
2022-08-14,ag,commute,0.2132816422248646
2022-08-21,ag,commute,0.29633752807504293
2022-08-28,ag,commute,0.20573110714757564
2022-09-04,ag,commute,0.14463469414717928
2022-09-11,ag,commute,0.23763211784912142
2022-09-18,ag,commute,0.2934641300039635
2022-09-25,ag,commute,0.13345570749108204
2022-10-02,ag,commute,0.26888294358567844
2022-10-09,ag,commute,0.13718902761263047
2022-10-16,ag,commute,0.14224369137270448
2022-10-23,ag,commute,0.17152298850574713
2022-10-30,ag,commute,0.14931183115338884
2022-11-06,ag,commute,0.17789899590434666
2022-11-13,ag,commute,0.20994682256572866
2022-11-20,ag,commute,0.12638756771039766
2022-11-27,ag,commute,0.11040560179680275
2022-12-04,ag,commute,0.14960546307306116
2022-12-11,ag,commute,0.1496893579072533
2022-12-18,ag,commute,0.16216871449332806
2022-12-25,ag,commute,0.1332459704056018
2023-01-01,ag,commute,0.1685447218919276
2023-01-08,ag,commute,0.10916815299246928
2023-01-15,ag,commute,0.10667228167525432
2023-01-22,ag,commute,0.11329997357643018
2023-01-29,ag,commute,0.1100280750429383
2023-02-05,ag,commute,0.1672443519619501
2023-02-12,ag,commute,0.22769057999735767
2023-02-19,ag,commute,0.16260916237283657
2023-02-26,ag,commute,0.16349005813185363
2023-03-05,ag,commute,0.19593638525564802
2023-03-12,ag,commute,0.11353068437045846
2023-03-19,ag,commute,0.1267441207557141
2023-03-26,ag,commute,0.1522481503501123
2023-04-02,ag,commute,0.1509687541286828
2023-04-09,ag,commute,0.1483680142687277
2023-04-16,ag,commute,0.13609839476813318
2023-04-23,ag,commute,0.17013872374157749
2023-04-30,ag,commute,0.16648929845422117
2023-05-07,ag,commute,0.25866874752279034
2023-05-14,ag,commute,0.14694180208746202
2023-05-21,ag,commute,0.13924445105033692
2023-05-28,ag,commute,0.1582466309948474
2018-06-10,ag,covid,0.004530321046373365
2018-06-17,ag,covid,0.013024673008323424
2018-06-24,ag,covid,0
2018-07-01,ag,covid,0.016359492667459376
2018-07-08,ag,covid,1.8876337693222355e-4
2018-07-15,ag,covid,0.02158194609591756
2018-07-22,ag,covid,0.001824712643678161
2018-07-29,ag,covid,0
2018-08-05,ag,covid,0
2018-08-12,ag,covid,0
2018-08-19,ag,covid,0.037375148632580256
2018-08-26,ag,covid,0
2018-09-02,ag,covid,0.003271898533491875
2018-09-09,ag,covid,0.004530321046373365
2018-09-16,ag,covid,1.8876337693222355e-4
2018-09-23,ag,covid,0.008557273087594134
2018-09-30,ag,covid,0.025168450257629805
2018-10-07,ag,covid,0.007047166072136346
2018-10-14,ag,covid,0.012710067380103052
2018-10-21,ag,covid,0.0015101070154577884
2018-10-28,ag,covid,0.038256044391597306
2018-11-04,ag,covid,0
2018-11-11,ag,covid,0.001824712643678161
2018-11-18,ag,covid,0
2018-11-25,ag,covid,0
2018-12-02,ag,covid,0
2018-12-09,ag,covid,1.8876337693222355e-4
2018-12-16,ag,covid,0.006795481569560048
2018-12-23,ag,covid,0
2018-12-30,ag,covid,2.516845025762981e-4
2019-01-06,ag,covid,0
2019-01-13,ag,covid,0
2019-01-20,ag,covid,1.8876337693222355e-4
2019-01-27,ag,covid,0.01101119698771304
2019-02-03,ag,covid,7.550535077288942e-4
2019-02-10,ag,covid,8.808957590170433e-4
2019-02-17,ag,covid,0
2019-02-24,ag,covid,0.0025168450257629805
2019-03-03,ag,covid,0
2019-03-10,ag,covid,0
2019-03-17,ag,covid,0
2019-03-24,ag,covid,1.8876337693222355e-4
2019-03-31,ag,covid,0
2019-04-07,ag,covid,0
2019-04-14,ag,covid,0
2019-04-21,ag,covid,0.007173008323424496
2019-04-28,ag,covid,1.8876337693222355e-4
2019-05-05,ag,covid,0.004341557669441141
2019-05-12,ag,covid,0
2019-05-19,ag,covid,0.01239546175188268
2019-05-26,ag,covid,1.8876337693222355e-4
2019-06-02,ag,covid,0.014534780023781214
2019-06-09,ag,covid,0.013779726516052318
2019-06-16,ag,covid,0
2019-06-23,ag,covid,0.0075505350772889415
2019-06-30,ag,covid,0
2019-07-07,ag,covid,0.003271898533491875
2019-07-14,ag,covid,0
2019-07-21,ag,covid,0
2019-07-28,ag,covid,0
2019-08-04,ag,covid,0.0018876337693222354
